Item,Total Fat,Sodium
Cheeseburger,11.0,680
Double Cheeseburger,21.0,1040
Bacon Clubhouse Burger,40.0,1470
McDouble,17.0,840
Bacon McDouble,22.0,1110
Daily Double,22.0,760
Jalapeño Double,23.0,1030
McRib,26.0,980
Premium Crispy Chicken Classic Sandwich,22.0,990
Premium Grilled Chicken Classic Sandwich,9.0,820
Premium Crispy Chicken Club Sandwich,33.0,1410
Premium Grilled Chicken Club Sandwich,20.0,1250
Premium Crispy Chicken Ranch BLT Sandwich,28.0,1400
Premium Grilled Chicken Ranch BLT Sandwich,15.0,1230
Bacon Clubhouse Crispy Chicken Sandwich,38.0,1720
Bacon Clubhouse Grilled Chicken Sandwich,25.0,1560
Southern Style Crispy Chicken Sandwich,19.0,910
McChicken,16.0,800
Bacon Cheddar McChicken,24.0,1260
Bacon Buffalo Ranch McChicken,21.0,1260
Buffalo Ranch McChicken,16.0,990
Premium McWrap Chicken & Bacon (Crispy Chicken),32.0,1540
Premium McWrap Chicken & Bacon (Grilled Chicken),19.0,1370
Premium McWrap Chicken & Ranch (Crispy Chicken),31.0,1340
Premium McWrap Chicken & Ranch (Grilled Chicken),18.0,1170
Premium McWrap Southwest Chicken (Crispy Chicken),33.0,1480
Premium McWrap Southwest Chicken (Grilled Chicken),20.0,1320
Premium McWrap Chicken Sweet Chili (Crispy Chicken),23.0,1260
Premium McWrap Chicken Sweet Chili (Grilled Chicken),10.0,1090
Chicken McNuggets (4 piece),12.0,360
Chicken McNuggets (6 piece),18.0,540
Chicken McNuggets (10 piece),30.0,900
Chicken McNuggets (20 piece),59.0,1800
Chicken McNuggets (40 piece),118.0,3600
Filet-O-Fish,19.0,590
Premium Bacon Ranch Salad (without Chicken),7.0,300
Premium Bacon Ranch Salad with Crispy Chicken,21.0,860
Premium Bacon Ranch Salad with Grilled Chicken,8.0,690
Premium Southwest Salad (without Chicken),4.5,150
Premium Southwest Salad with Crispy Chicken,22.0,850
Premium Southwest Salad with Grilled Chicken,8.0,680
Chipotle BBQ Snack Wrap (Crispy Chicken),15.0,780
Chipotle BBQ Snack Wrap (Grilled Chicken),8.0,700
Honey Mustard Snack Wrap (Crispy Chicken),15.0,730
Honey Mustard Snack Wrap (Grilled Chicken),8.0,650
Ranch Snack Wrap (Crispy Chicken),20.0,810
Ranch Snack Wrap (Grilled Chicken),13.0,720
Small French Fries,11.0,130
Medium French Fries,16.0,190
Large French Fries,24.0,290
Kids French Fries,5.0,65
Side Salad,0.0,10
Apple Slices,0.0,0
Fruit 'n Yogurt Parfait,2.0,70
Baked Apple Pie,13.0,170
Chocolate Chip Cookie,8.0,90
Oatmeal Raisin Cookie,6.0,135
Kids Ice Cream Cone,1.5,20
Hot Fudge Sundae,9.0,170
Hot Caramel Sundae,8.0,150
Strawberry Sundae,6.0,85
Coca-Cola Classic (Small),0.0,0
Coca-Cola Classic (Medium),0.0,5
Coca-Cola Classic (Large),0.0,5
Coca-Cola Classic (Child),0.0,0
Diet Coke (Small),0.0,10
Diet Coke (Medium),0.0,20
Diet Coke (Large),0.0,35
Diet Coke (Child),0.0,15
Dr Pepper (Small),0.0,45
Dr Pepper (Medium),0.0,65
Dr Pepper (Large),0.0,90
Dr Pepper (Child),0.0,30
Diet Dr Pepper (Small),0.0,70
Diet Dr Pepper (Medium),0.0,100
Diet Dr Pepper (Large),0.0,140
Diet Dr Pepper (Child),0.0,50
Sprite (Small),0.0,30
Sprite (Medium),0.0,45
Sprite (Large),0.0,60
Sprite (Child),0.0,25
1% Low Fat Milk Jug,2.5,125
Fat Free Chocolate Milk Jug,0.0,135
Minute Maid 100% Apple Juice Box,0.0,15
Minute Maid Orange Juice (Small),0.0,0
Minute Maid Orange Juice (Medium),0.0,0
Minute Maid Orange Juice (Large),0.0,5
Dasani Water Bottle,0.0,0
Iced Tea (Small),0.0,10
Iced Tea (Medium),0.0,10
Iced Tea (Large),0.0,15
Iced Tea (Child),0.0,5
Sweet Tea (Small),0.0,10
Sweet Tea (Medium),0.0,10
Sweet Tea (Large),0.0,10
Sweet Tea (Child),0.0,5
Coffee (Small),0.0,0
Coffee (Medium),0.0,0
Coffee (Large),0.0,0
Latte (Small),9.0,115
Latte (Medium),10.0,140
Latte (Large),14.0,180
Caramel Latte (Small),9.0,115
Caramel Latte (Medium),10.0,140
Caramel Latte (Large),14.0,180
Hazelnut Latte (Small),9.0,115
Hazelnut Latte (Medium),10.0,140
Hazelnut Latte (Large),14.0,180
French Vanilla Latte (Small),9.0,115
French Vanilla Latte (Medium),10.0,140
French Vanilla Latte (Large),14.0,190
Latte with Sugar Free French Vanilla Syrup (Small),9.0,150
Latte with Sugar Free French Vanilla Syrup (Medium),10.0,190
Latte with Sugar Free French Vanilla Syrup (Large),14.0,240
Nonfat Latte (Small),0.0,110
Nonfat Latte (Medium),0.0,135
Nonfat Latte (Large),0.5,180
Nonfat Caramel Latte (Small),0.0,110
Nonfat Caramel Latte (Medium),0.0,135
Nonfat Caramel Latte (Large),0.5,180
Nonfat Hazelnut Latte (Small),0.0,110
Nonfat Hazelnut Latte (Medium),0.0,135
Nonfat Hazelnut Latte (Large),0.5,180
Nonfat French Vanilla Latte (Small),0.0,115
Nonfat French Vanilla Latte (Medium),0.0,140
Nonfat French Vanilla Latte (Large),0.5,180
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0.0,150
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0.0,180
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.5,240
Mocha (Small),11.0,150
Mocha (Medium),14.0,190
Mocha (Large),17.0,240
Mocha with Nonfat Milk (Small),3.5,150
Mocha with Nonfat Milk (Medium),3.5,190
Mocha with Nonfat Milk (Large),4.0,240
Caramel Mocha (Small),11.0,170
Caramel Mocha (Medium),14.0,220
Caramel Mocha (Large),17.0,270
Nonfat Caramel Mocha (Small),3.5,170
Nonfat Caramel Mocha (Medium),3.5,210
Nonfat Caramel Mocha (Large),3.5,270
Hot Chocolate (Small),13.0,180
Hot Chocolate (Medium),16.0,220
Hot Chocolate (Large),20.0,280
Hot Chocolate with Nonfat Milk (Small),3.5,180
Hot Chocolate with Nonfat Milk (Medium),3.5,220
Hot Chocolate with Nonfat Milk (Large),3.5,280
Regular Iced Coffee (Small),4.5,35
Regular Iced Coffee (Medium),7.0,50
Regular Iced Coffee (Large),9.0,75
Caramel Iced Coffee (Small),4.5,35
Caramel Iced Coffee (Medium),7.0,50
Caramel Iced Coffee (Large),9.0,65
Hazelnut Iced Coffee (Small),4.5,35
Hazelnut Iced Coffee (Medium),7.0,50
Hazelnut Iced Coffee (Large),9.0,75
French Vanilla Iced Coffee (Small),4.5,40
French Vanilla Iced Coffee (Medium),7.0,55
French Vanilla Iced Coffee (Large),9.0,80
Iced Coffee with Sugar Free French Vanilla Syrup (Small),4.5,65
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),7.0,90
Iced Coffee with Sugar Free French Vanilla Syrup (Large),9.0,135
Iced Mocha (Small),11.0,125
Iced Mocha (Medium),13.0,150
Iced Mocha (Large),16.0,220
Iced Mocha with Nonfat Milk (Small),5.0,125
Iced Mocha with Nonfat Milk (Medium),5.0,150
Iced Mocha with Nonfat Milk (Large),6.0,220
Iced Caramel Mocha (Small),11.0,140
Iced Caramel Mocha (Medium),13.0,170
Iced Caramel Mocha (Large),16.0,250
Iced Nonfat Caramel Mocha (Small),5.0,140
Iced Nonfat Caramel Mocha (Medium),5.0,170
Iced Nonfat Caramel Mocha (Large),6.0,250
Frappé Mocha (Small),18.0,125
Frappé Mocha (Medium),22.0,160
Frappé Mocha (Large),26.0,190
Frappé Caramel (Small),19.0,125
Frappé Caramel (Medium),23.0,160
Frappé Caramel (Large),27.0,190
Frappé Chocolate Chip (Small),23.0,135
Frappé Chocolate Chip (Medium),26.0,160
Frappé Chocolate Chip (Large),31.0,200
Blueberry Pomegranate Smoothie (Small),0.5,40
Blueberry Pomegranate Smoothie (Medium),1.0,50
Blueberry Pomegranate Smoothie (Large),1.0,65
Strawberry Banana Smoothie (Small),0.5,50
Strawberry Banana Smoothie (Medium),1.0,60
Strawberry Banana Smoothie (Large),1.0,80
Mango Pineapple Smoothie (Small),0.5,40
Mango Pineapple Smoothie (Medium),1.0,45
Mango Pineapple Smoothie (Large),1.0,60
Vanilla Shake (Small),15.0,160
Vanilla Shake (Medium),19.0,200
Vanilla Shake (Large),23.0,260
Strawberry Shake (Small),16.0,160
Strawberry Shake (Medium),20.0,210
Strawberry Shake (Large),24.0,260
Chocolate Shake (Small),16.0,240
Chocolate Shake (Medium),20.0,300
Chocolate Shake (Large),23.0,380
Shamrock Shake (Medium),19.0,210
Shamrock Shake (Large),23.0,260
McFlurry with M&M’s Candies (Small),23.0,180
McFlurry with M&M’s Candies (Medium),33.0,260
McFlurry with M&M’s Candies (Snack),15.0,120
McFlurry with Oreo Cookies (Small),17.0,280
McFlurry with Oreo Cookies (Medium),23.0,380
McFlurry with Oreo Cookies (Snack),11.0,190
McFlurry with Reese's Peanut Butter Cups (Medium),32.0,400
McFlurry with Reese's Peanut Butter Cups (Snack),16.0,200
