Item,Saturated Fat,Saturated Fat (% Daily Value)
Dr Pepper (Medium),0.0,0
Dr Pepper (Large),0.0,0
Dr Pepper (Child),0.0,0
Diet Dr Pepper (Small),0.0,0
Diet Dr Pepper (Medium),0.0,0
Diet Dr Pepper (Large),0.0,0
Diet Dr Pepper (Child),0.0,0
Sprite (Small),0.0,0
Sprite (Medium),0.0,0
Sprite (Large),0.0,0
Sprite (Child),0.0,0
1% Low Fat Milk Jug,1.5,8
Fat Free Chocolate Milk Jug,0.0,0
Minute Maid 100% Apple Juice Box,0.0,0
Minute Maid Orange Juice (Small),0.0,0
Minute Maid Orange Juice (Medium),0.0,0
Minute Maid Orange Juice (Large),0.0,0
Dasani Water Bottle,0.0,0
Iced Tea (Small),0.0,0
Iced Tea (Medium),0.0,0
Iced Tea (Large),0.0,0
Iced Tea (Child),0.0,0
Sweet Tea (Small),0.0,0
Sweet Tea (Medium),0.0,0
Sweet Tea (Large),0.0,0
Sweet Tea (Child),0.0,0
Coffee (Small),0.0,0
Coffee (Medium),0.0,0
Coffee (Large),0.0,0
Latte (Small),5.0,24
Latte (Medium),6.0,30
Latte (Large),8.0,39
Caramel Latte (Small),5.0,24
Caramel Latte (Medium),6.0,30
Caramel Latte (Large),8.0,39
Hazelnut Latte (Small),5.0,24
Hazelnut Latte (Medium),6.0,30
Hazelnut Latte (Large),8.0,39
French Vanilla Latte (Small),5.0,24
French Vanilla Latte (Medium),6.0,30
French Vanilla Latte (Large),8.0,39
Latte with Sugar Free French Vanilla Syrup (Small),5.0,24
Latte with Sugar Free French Vanilla Syrup (Medium),6.0,30
Latte with Sugar Free French Vanilla Syrup (Large),8.0,39
Nonfat Latte (Small),0.0,0
Nonfat Latte (Medium),0.0,0
Nonfat Latte (Large),0.0,0
Nonfat Caramel Latte (Small),0.0,0
Nonfat Caramel Latte (Medium),0.0,0
Nonfat Caramel Latte (Large),0.0,0
Nonfat Hazelnut Latte (Small),0.0,0
Nonfat Hazelnut Latte (Medium),0.0,0
Nonfat Hazelnut Latte (Large),0.0,0
Nonfat French Vanilla Latte (Small),0.0,0
Nonfat French Vanilla Latte (Medium),0.0,0
Nonfat French Vanilla Latte (Large),0.0,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0.0,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0.0,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0.0,0
Mocha (Small),7.0,34
Mocha (Medium),8.0,40
Mocha (Large),10.0,49
Mocha with Nonfat Milk (Small),2.0,11
Mocha with Nonfat Milk (Medium),2.0,11
Mocha with Nonfat Milk (Large),2.5,12
Caramel Mocha (Small),7.0,33
Caramel Mocha (Medium),8.0,40
Caramel Mocha (Large),10.0,49
Nonfat Caramel Mocha (Small),2.0,10
Nonfat Caramel Mocha (Medium),2.0,11
Nonfat Caramel Mocha (Large),2.5,11
Hot Chocolate (Small),8.0,39
Hot Chocolate (Medium),9.0,47
Hot Chocolate (Large),12.0,58
Hot Chocolate with Nonfat Milk (Small),2.0,11
Hot Chocolate with Nonfat Milk (Medium),2.0,11
Hot Chocolate with Nonfat Milk (Large),2.5,12
Regular Iced Coffee (Small),3.0,15
Regular Iced Coffee (Medium),4.5,22
Regular Iced Coffee (Large),6.0,29
Caramel Iced Coffee (Small),3.0,15
Caramel Iced Coffee (Medium),4.5,22
Caramel Iced Coffee (Large),6.0,29
Hazelnut Iced Coffee (Small),3.0,15
Hazelnut Iced Coffee (Medium),4.5,22
Hazelnut Iced Coffee (Large),6.0,29
French Vanilla Iced Coffee (Small),3.0,15
French Vanilla Iced Coffee (Medium),4.5,22
French Vanilla Iced Coffee (Large),6.0,29
Iced Coffee with Sugar Free French Vanilla Syrup (Small),3.0,15
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),4.5,22
Iced Coffee with Sugar Free French Vanilla Syrup (Large),6.0,29
Iced Mocha (Small),7.0,33
Iced Mocha (Medium),8.0,38
Iced Mocha (Large),10.0,49
Iced Mocha with Nonfat Milk (Small),3.0,16
Iced Mocha with Nonfat Milk (Medium),3.5,17
Iced Mocha with Nonfat Milk (Large),3.5,18
Iced Caramel Mocha (Small),7.0,33
Iced Caramel Mocha (Medium),7.0,37
Iced Caramel Mocha (Large),10.0,48
Iced Nonfat Caramel Mocha (Small),3.0,16
Iced Nonfat Caramel Mocha (Medium),3.0,16
Iced Nonfat Caramel Mocha (Large),3.5,17
Frappé Mocha (Small),12.0,59
Frappé Mocha (Medium),14.0,71
Frappé Mocha (Large),17.0,85
Frappé Caramel (Small),12.0,60
Frappé Caramel (Medium),15.0,73
Frappé Caramel (Large),17.0,87
Frappé Chocolate Chip (Small),14.0,72
Frappé Chocolate Chip (Medium),17.0,85
Frappé Chocolate Chip (Large),20.0,101
Blueberry Pomegranate Smoothie (Small),0.0,0
Blueberry Pomegranate Smoothie (Medium),0.0,0
Blueberry Pomegranate Smoothie (Large),0.5,3
Strawberry Banana Smoothie (Small),0.0,0
Strawberry Banana Smoothie (Medium),0.0,0
Strawberry Banana Smoothie (Large),0.5,3
Mango Pineapple Smoothie (Small),0.0,0
Mango Pineapple Smoothie (Medium),0.0,0
Mango Pineapple Smoothie (Large),0.5,3
Vanilla Shake (Small),10.0,49
Vanilla Shake (Medium),12.0,61
Vanilla Shake (Large),15.0,73
Strawberry Shake (Small),10.0,52
Strawberry Shake (Medium),13.0,63
Strawberry Shake (Large),15.0,75
Chocolate Shake (Small),10.0,51
Chocolate Shake (Medium),12.0,62
Chocolate Shake (Large),15.0,74
Shamrock Shake (Medium),12.0,61
Shamrock Shake (Large),15.0,73
McFlurry with M&M’s Candies (Small),14.0,72
McFlurry with M&M’s Candies (Medium),20.0,102
McFlurry with M&M’s Candies (Snack),10.0,48
McFlurry with Oreo Cookies (Small),9.0,44
McFlurry with Oreo Cookies (Medium),12.0,58
McFlurry with Oreo Cookies (Snack),6.0,29
McFlurry with Reese's Peanut Butter Cups (Medium),15.0,76
McFlurry with Reese's Peanut Butter Cups (Snack),8.0,38
