Item,Saturated Fat,Saturated Fat (% Daily Value)
Nonfat Caramel Latte (Small),0,0
Nonfat Caramel Latte (Medium),0,0
Nonfat Caramel Latte (Large),0,0
Nonfat Hazelnut Latte (Small),0,0
Nonfat Hazelnut Latte (Medium),0,0
Nonfat Hazelnut Latte (Large),0,0
Nonfat French Vanilla Latte (Small),0,0
Nonfat French Vanilla Latte (Medium),0,0
Nonfat French Vanilla Latte (Large),0,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Small),0,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Medium),0,0
Nonfat Latte with Sugar Free French Vanilla Syrup (Large),0,0
Mocha (Small),0.132075,0.333333
Mocha (Medium),0.150943,0.392157
Mocha (Large),0.188679,0.480392
Mocha with Nonfat Milk (Small),0.0377358,0.107843
Mocha with Nonfat Milk (Medium),0.0377358,0.107843
Mocha with Nonfat Milk (Large),0.0471698,0.117647
Caramel Mocha (Small),0.132075,0.323529
Caramel Mocha (Medium),0.150943,0.392157
Caramel Mocha (Large),0.188679,0.480392
Nonfat Caramel Mocha (Small),0.0377358,0.0980392
Nonfat Caramel Mocha (Medium),0.0377358,0.107843
Nonfat Caramel Mocha (Large),0.0471698,0.107843
Hot Chocolate (Small),0.150943,0.382353
Hot Chocolate (Medium),0.169811,0.460784
Hot Chocolate (Large),0.226415,0.568627
Hot Chocolate with Nonfat Milk (Small),0.0377358,0.107843
Hot Chocolate with Nonfat Milk (Medium),0.0377358,0.107843
Hot Chocolate with Nonfat Milk (Large),0.0471698,0.117647
Regular Iced Coffee (Small),0.0566038,0.147059
Regular Iced Coffee (Medium),0.0849057,0.215686
Regular Iced Coffee (Large),0.113208,0.284314
Caramel Iced Coffee (Small),0.0566038,0.147059
Caramel Iced Coffee (Medium),0.0849057,0.215686
Caramel Iced Coffee (Large),0.113208,0.284314
Hazelnut Iced Coffee (Small),0.0566038,0.147059
Hazelnut Iced Coffee (Medium),0.0849057,0.215686
Hazelnut Iced Coffee (Large),0.113208,0.284314
French Vanilla Iced Coffee (Small),0.0566038,0.147059
French Vanilla Iced Coffee (Medium),0.0849057,0.215686
French Vanilla Iced Coffee (Large),0.113208,0.284314
Iced Coffee with Sugar Free French Vanilla Syrup (Small),0.0566038,0.147059
Iced Coffee with Sugar Free French Vanilla Syrup (Medium),0.0849057,0.215686
Iced Coffee with Sugar Free French Vanilla Syrup (Large),0.113208,0.284314
Iced Mocha (Small),0.132075,0.323529
Iced Mocha (Medium),0.150943,0.372549
Iced Mocha (Large),0.188679,0.480392
Iced Mocha with Nonfat Milk (Small),0.0566038,0.156863
Iced Mocha with Nonfat Milk (Medium),0.0660377,0.166667
Iced Mocha with Nonfat Milk (Large),0.0660377,0.176471
Iced Caramel Mocha (Small),0.132075,0.323529
Iced Caramel Mocha (Medium),0.132075,0.362745
Iced Caramel Mocha (Large),0.188679,0.470588
Iced Nonfat Caramel Mocha (Small),0.0566038,0.156863
Iced Nonfat Caramel Mocha (Medium),0.0566038,0.156863
Iced Nonfat Caramel Mocha (Large),0.0660377,0.166667
Frappé Mocha (Small),0.226415,0.578431
Frappé Mocha (Medium),0.264151,0.696078
Frappé Mocha (Large),0.320755,0.833333
Frappé Caramel (Small),0.226415,0.588235
Frappé Caramel (Medium),0.283019,0.715686
Frappé Caramel (Large),0.320755,0.852941
Frappé Chocolate Chip (Small),0.264151,0.705882
Frappé Chocolate Chip (Medium),0.320755,0.833333
Frappé Chocolate Chip (Large),0.377358,0.990196
Blueberry Pomegranate Smoothie (Small),0,0
Blueberry Pomegranate Smoothie (Medium),0,0
Blueberry Pomegranate Smoothie (Large),0.00943396,0.0294118
Strawberry Banana Smoothie (Small),0,0
Strawberry Banana Smoothie (Medium),0,0
Strawberry Banana Smoothie (Large),0.00943396,0.0294118
Mango Pineapple Smoothie (Small),0,0
Mango Pineapple Smoothie (Medium),0,0
Mango Pineapple Smoothie (Large),0.00943396,0.0294118
Vanilla Shake (Small),0.188679,0.480392
Vanilla Shake (Medium),0.226415,0.598039
Vanilla Shake (Large),0.283019,0.715686
Strawberry Shake (Small),0.188679,0.509804
Strawberry Shake (Medium),0.245283,0.617647
Strawberry Shake (Large),0.283019,0.735294
Chocolate Shake (Small),0.188679,0.5
Chocolate Shake (Medium),0.226415,0.607843
Chocolate Shake (Large),0.283019,0.72549
Shamrock Shake (Medium),0.226415,0.598039
Shamrock Shake (Large),0.283019,0.715686
McFlurry with M&M’s Candies (Small),0.264151,0.705882
McFlurry with M&M’s Candies (Medium),0.377358,1
McFlurry with M&M’s Candies (Snack),0.188679,0.470588
McFlurry with Oreo Cookies (Small),0.169811,0.431373
McFlurry with Oreo Cookies (Medium),0.226415,0.568627
McFlurry with Oreo Cookies (Snack),0.113208,0.284314
McFlurry with Reese's Peanut Butter Cups (Medium),0.283019,0.745098
McFlurry with Reese's Peanut Butter Cups (Snack),0.150943,0.372549
